#
# Atic Atac (141 rooms)
#
# Links between floors:
# - Basement (321) down to Atic (442)
# - Basement (321) up to Ground (23)
# - Ground (13) up to first floor (115)
# - Ground (23) down to basement (321)
# - First (115) down to ground (13)
#
# Level: ATIC=1,FIRST_FLOOR=2,GROUND=3,BASEMENT=4,CAVERNS=5
# Type: STD=1,EDGE=2,CAVERN=3,ATIC=4,ROOF=5,DRTWO_UP=6,DRFOUR_UPDWN=7,DRFIVE_DWN=8,DRFIVE_UP=9
# Color: BLACK=0,BLUE=1,RED=2,MAGENTA=3,GREEN=4,CYAN=5,YELLOW=6,WHITE=7
# Scale: FULL=1,HORIZ=2,VERT=3
# Links: left, right, top, bottom, extra (for Type 6-9)
# Extras:START=900
#
# Ground rooms (31)
# ID, Level, Type, Color, Scale, ID(left, right, top, bottom), extra(add. door, other flags see EXTRA)
# I  L  T  C  S  Links
001, 3, 1, 6, 2, 000, 002, 000, 000, XXX
002, 3, 1, 3, 1, 001, 003, 000, 007, XXX
003, 3, 1, 2, 2, 002, 004, 000, 000, XXX
004, 3, 1, 3, 2, 003, 005, 000, 000, XXX
005, 3, 1, 4, 2, 004, 006, 000, 000, XXX
006, 3, 1, 5, 1, 005, 000, 000, 008, XXX
007, 3, 1, 4, 3, 000, 000, 002, 009, XXX
008, 3, 1, 6, 3, 000, 000, 006, 013, XXX
009, 3, 1, 5, 3, 000, 010, 007, 015, XXX
010, 3, 1, 6, 1, 009, 011, 000, 000, XXX
011, 3, 1, 5, 1, 010, 012, 000, 000, XXX
012, 3, 2, 5, 4, 011, 013, 000, 016, XXX
# Room 13 goes to first floor (115)
013, 3, 1, 4, 2, 012, 014, 008, 115, XXX
014, 3, 2, 3, 1, 013, 000, 000, 018, XXX
015, 3, 1, 6, 3, 000, 000, 009, 019, XXX
016, 3, 1, 6, 3, 000, 017, 012, 022, XXX
017, 3, 1, 7, 2, 016, 018, 000, 000, XXX
018, 3, 1, 2, 1, 017, 999, 014, 024, 900
019, 3, 1, 7, 3, 000, 020, 015, 025, XXX
020, 3, 1, 4, 1, 019, 021, 000, 000, XXX
021, 3, 1, 3, 1, 020, 022, 000, 000, XXX
022, 3, 2, 7, 1, 021, 023, 016, 000, XXX
# Room 23 goes to basement (321)
023, 3, 1, 6, 2, 022, 024, 321, 026, XXX
024, 3, 2, 5, 1, 023, 000, 018, 000, XXX
025, 3, 1, 6, 3, 000, 000, 019, 027, XXX
026, 3, 1, 4, 3, 000, 000, 023, 031, XXX
027, 3, 1, 5, 1, 000, 028, 025, 032, XXX
028, 3, 1, 4, 2, 027, 029, 000, 000, XXX
029, 3, 1, 3, 2, 028, 030, 000, 000, XXX
030, 3, 1, 2, 2, 029, 031, 000, 000, XXX
031, 3, 1, 3, 1, 030, 000, 026, 000, XXX
032, 3, 1, 2, 3, 000, 000, 027, 033, XXX
# Room 33 is a double door room (special) and also it goes down to caverns
